system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2000_phenology,2001_phenology,2002_phenology,2003_phenology,2004_phenology,2005_phenology,2006_phenology,2007_phenology,2008_phenology,2009_phenology,2010_phenology,2011_phenology,2012_phenology,2013_phenology,2014_phenology,2015_phenology,2016_phenology,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
02-11,,0.8724666666666667,0.4197,0.8401933333333333,,0.8397333333333333,,0.863,,,,0.7281111111111112,0.6847277777777777,0.6047777777777777,,0.83754,0.84659,0.8100222222222222,0.7058666666666666,0.8345888888888888,0.8125375,0.8460333333333333,0.8996666666666666,,0.8724666666666667,0.4197,0.8401933333333333,0.675,0.8397333333333333,0.7073791666666667,0.863,0.7767875,0.7031044444444445,0.6940561111111112,0.7281111111111112,0.6847277777777777,0.6047777777777777,0.7155499999999999,0.83754,0.84659,0.8100222222222222,0.7058666666666666,0.8345888888888888,0.8125375,0.8460333333333333,0.8996666666666666,,,,,,,,,,,,,,,,,,,,,,,
02-12,,0.8493555555555555,,0.7326,0.5070666666666667,0.8252555555555555,0.6971333333333334,0.8458777777777777,0.838175,0.6703611111111111,,,0.4263388888888889,,0.8285083333333333,0.80693125,0.5915111111111111,0.7750857142857143,,0.9506,,0.9291777777777778,0.8187,,0.8493555555555555,,0.7326,0.5070666666666667,0.8252555555555555,0.6971333333333334,0.8458777777777777,0.838175,0.6703611111111111,0.8231388888888889,0.7657382716049382,0.4263388888888889,0.6681210101010101,0.8285083333333333,0.80693125,0.5915111111111111,0.7750857142857143,0.7484299999999999,0.9506,0.768094375,0.9291777777777778,0.8187,,,,,,,,,,,,,,,,,,,,,,,
02-13,,,,0.8023,0.5463,0.87185,0.8515222222222222,,0.845709090909091,,,,,,0.8633833333333333,,,0.8216333333333333,0.7909933333333333,,,0.8380888888888889,0.8141117647058823,,0.7287277777777778,,0.8023,0.5463,0.87185,0.8515222222222222,0.6948388888888888,0.845709090909091,0.7361888888888888,0.8096986111111111,0.7689105555555555,0.6847277777777777,0.6619016161616161,0.8633833333333333,0.817290625,0.7147222222222223,0.8216333333333333,0.7909933333333333,0.8345888888888888,0.82136875,0.8380888888888889,0.8141117647058823,,,,,,,,,,,,,,,,,,,,,,,
02-14,,0.6081,,,0.8269444444444445,,0.7451666666666666,0.5438,,0.8020166666666666,,,,,0.6331875,0.82765,0.8379333333333333,,,,,0.5018769230769231,0.5457777777777777,,0.6081,,0.79915,0.8269444444444445,0.8432125,0.7451666666666666,0.5438,0.5983045454545455,0.8020166666666666,0.78085,0.7689105555555555,0.6499962962962963,0.6047777777777777,0.6331875,0.82765,0.8379333333333333,0.6651555555555555,0.7014050000000001,0.8315923076923077,0.7794468055555555,0.5018769230769231,0.5457777777777777,,,,,,,,,,,,,,,,,,,,,,,
02-15,,,,0.796,,0.814575,0.9355777777777776,0.8029,0.3509,,,,,,,0.6939888888888889,0.8541411764705882,0.5086777777777778,0.6118166666666667,0.8295818181818182,0.8302,0.8794222222222222,,,0.6976166666666666,,0.796,0.6861,0.814575,0.9355777777777776,0.8029,0.3509,0.8728083333333333,0.7693777777777777,0.80971,0.6548907407407407,0.5950787037037036,0.7829013888888888,0.6939888888888889,0.8541411764705882,0.5086777777777778,0.6118166666666667,0.8295818181818182,0.8302,0.8794222222222222,0.7272990196078432,,,,,,,,,,,,,,,,,,,,,,,
02-16,,,,0.7933666666666667,,0.5322777777777777,,,,0.9436,0.8539555555555556,,,,,,0.8351222222222222,,0.5371111111111111,0.8315923076923077,0.60365,0.6463125,,,0.6366666666666667,,0.7933666666666667,0.7280851851851852,0.5322777777777777,0.629761111111111,0.8100722222222222,0.5955958333333333,0.9436,0.8539555555555556,0.802446172839506,0.6499962962962963,0.645225925925926,0.7829013888888888,0.6939888888888889,0.8351222222222222,0.5831611111111111,0.5371111111111111,0.8315923076923077,0.60365,0.6463125,0.6678944444444443,,,,,,,,,,,,,,,,,,,,,,,
02-17,,,,,,0.8571636363636363,0.3239444444444444,0.8172444444444444,0.8402916666666667,,,0.80971,0.8389222222222222,,,,,,,0.8371222222222222,0.8294777777777778,0.8106722222222222,,,0.6539805555555555,,0.745626,0.6861,0.8571636363636363,0.3239444444444444,0.8172444444444444,0.8402916666666667,0.8728083333333333,0.7693777777777777,0.80971,0.8389222222222222,0.645225925925926,0.772033611111111,0.6748333333333333,0.8398249019607842,0.4763388888888888,0.6586425925925926,0.8371222222222222,0.8294777777777778,0.8106722222222222,0.6678944444444443,,,,,,,,,,,,,,,,,,,,,,,
02-18,,0.6652333333333333,,,,,0.3376333333333333,0.7967454545454545,0.4510777777777777,,,0.83123,,,,0.6748333333333333,,,,0.8606111111111111,0.82985,,0.7900111111111111,,0.6652333333333333,,0.7109933333333334,0.7944222222222223,0.8312777777777778,0.3376333333333333,0.7967454545454545,0.4510777777777777,0.7840722222222223,0.7693777777777777,0.83123,0.6994111111111111,0.6914615656565656,0.8207333333333333,0.6748333333333333,0.8356833333333333,0.5129933333333334,0.6586425925925926,0.8606111111111111,0.82985,0.7944,0.7900111111111111,,,,,,,,,,,,,,,,,,,,,,,
02-19,,0.79075,,,0.8110111111111111,,,,0.84897,0.7840722222222223,,0.8105944444444444,0.5599,,0.8521333333333333,0.6731777777777778,,0.444,,,,,,,0.79075,,0.733424,0.8110111111111111,0.8571636363636363,0.5315344444444443,0.822801893939394,0.84897,0.7840722222222223,0.7632351851851852,0.8105944444444444,0.5599,0.7162537373737374,0.8521333333333333,0.6731777777777778,0.8496366666666667,0.444,0.6224851851851851,0.8499981481481482,0.7141500000000001,0.8025361111111111,0.7272990196078432,,,,,,,,,,,,,,,,,,,,,,,
02-20,,,,0.62862,0.4203444444444444,0.8312777777777778,,0.8488583333333333,,,,,0.5227,0.7778,0.83078,0.814238888888889,0.8362444444444445,,,,0.59845,0.7944,,,0.5691527777777777,0.8496777777777778,0.62862,0.4203444444444444,0.8312777777777778,0.5679888888888889,0.8488583333333333,0.8197611111111112,0.7810066993464053,0.7693777777777777,0.8351444444444445,0.5227,0.7778,0.83078,0.814238888888889,0.8362444444444445,0.52665,0.6586425925925926,0.8499981481481482,0.59845,0.7944,0.7506722222222222,,,,,,,,,,,,,,,,,,,,,,,
02-21,,0.3475555555555555,,,0.8031,0.8754666666666667,,,,0.7779411764705882,0.6848,0.8596944444444444,0.8310611111111111,0.5531,0.8207333333333333,0.3997666666666666,0.8682555555555556,0.6093,0.827,,0.79095,,,,0.3475555555555555,0.6588888888888889,0.72092,0.8031,0.8754666666666667,0.6194211111111111,0.740080303030303,0.7066029629629629,0.7779411764705882,0.6848,0.8596944444444444,0.8310611111111111,0.5531,0.8207333333333333,0.3997666666666666,0.8682555555555556,0.6093,0.827,0.8564361111111112,0.79095,0.8025361111111111,0.7737555555555554,,,,,,,,,,,,,,,,,,,,,,,
02-22,,,,0.8132199999999999,0.7944222222222223,,0.7983444444444444,,,,,,0.461,,0.8519555555555556,,0.8728777777777778,,0.5033444444444445,,0.85975625,,,,0.5013777777777777,,0.8132199999999999,0.7944222222222223,0.8605611111111111,0.7983444444444444,0.6936180555555556,0.8309418518518519,0.8503205882352941,0.75095,0.7408972222222222,0.461,0.7453916666666667,0.8519555555555556,0.5604878787878788,0.8728777777777778,0.6093,0.5033444444444445,0.8511296296296297,0.85975625,0.8034894660894661,0.7900111111111111,,,,,,,,,,,,,,,,,,,,,,,
