system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2000_phenology,2001_phenology,2002_phenology,2003_phenology,2004_phenology,2005_phenology,2006_phenology,2007_phenology,2008_phenology,2009_phenology,2010_phenology,2011_phenology,2012_phenology,2013_phenology,2014_phenology,2015_phenology,2016_phenology,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
04-12,,0.9056444444444444,,0.9641666666666668,,0.9140388888888888,0.8735111111111111,0.8932944444444444,0.9177722222222222,0.9114888888888888,,,0.9095277777777778,,,,,0.9177733333333332,0.9586333333333332,,,0.9194722222222222,0.8743777777777778,0.9026111111111113,0.9056444444444444,0.8712666666666666,0.9641666666666668,0.9060388888888888,0.9140388888888888,0.8735111111111111,0.8932944444444444,0.9177722222222222,0.9114888888888888,0.9064993055555556,0.9162237037037037,0.9095277777777778,0.9413685185185184,0.8918870370370371,0.9066638888888888,0.9163583333333334,0.9177733333333332,0.9586333333333332,0.9022305555555556,0.8774972222222222,0.9194722222222222,0.8743777777777778,,,,,,,,,,,,,,,,,,,,,,,
04-13,,0.8846111111111111,,,,0.8519666666666666,0.9073,,0.9194388888888888,0.9087555555555556,,,0.9233055555555556,,0.86115,0.9202611111111112,0.9191666666666668,0.9141722222222224,0.9133888888888888,,0.8573777777777778,0.90325,0.8871777777777777,0.9026111111111113,0.8846111111111111,0.8497822751322752,0.9431944444444448,0.8972268518518517,0.8519666666666666,0.9073,0.8957,0.9194388888888888,0.9087555555555556,0.9125472222222222,0.9223366666666668,0.9233055555555556,0.9437777777777778,0.86115,0.9202611111111112,0.9191666666666668,0.9141722222222224,0.9133888888888888,0.9022305555555556,0.8573777777777778,0.90325,0.8871777777777777,,,,,,,,,,,,,,,,,,,,,,,
04-14,,0.9064555555555556,,0.9222222222222224,0.8967166666666666,,0.8939111111111111,,,0.9165055555555556,,,0.9099555555555556,0.9437777777777778,0.9038333333333334,,0.9220555555555556,0.9293666666666668,0.9081333333333332,,0.9124277777777778,,0.8694000000000001,0.9098944444444446,0.9064555555555556,0.8712666666666666,0.9222222222222224,0.8967166666666666,0.9009455555555556,0.8939111111111111,0.8954333333333334,0.9132183333333334,0.9165055555555556,0.9268105555555556,0.9000166666666667,0.9099555555555556,0.9437777777777778,0.9038333333333334,0.9219583333333334,0.9220555555555556,0.9293666666666668,0.9081333333333332,0.908241049382716,0.9124277777777778,0.9054925925925924,0.8694000000000001,,,,,,,,,,,,,,,,,,,,,,,
04-15,,0.8814222222222222,,0.9154866666666668,,,,0.8957,,0.9427611111111112,0.909,,0.9271333333333334,0.9208133333333334,0.9070333333333334,0.9236555555555556,0.7672,,0.8823777777777778,0.8812888888888889,0.9006611111111111,,,0.906611111111111,0.8814222222222222,0.8646871091871092,0.9154866666666668,0.8806305555555556,0.8922166666666667,0.8832195767195766,0.8957,0.9166527777777778,0.9427611111111112,0.909,0.9102098412698414,0.9271333333333334,0.9208133333333334,0.9070333333333334,0.9236555555555556,0.7672,0.8939472222222222,0.8823777777777778,0.8812888888888889,0.9006611111111111,0.8937555555555555,0.8855777777777778,,,,,,,,,,,,,,,,,,,,,,,
04-16,0.9155555555555556,0.8771444444444445,0.8712666666666666,0.9244777777777776,0.8645444444444444,,,,,,0.9874111111111112,0.9000166666666667,0.9163722222222224,0.9121722222222224,,,,0.8585277777777778,0.8887333333333334,0.9005333333333333,0.9031055555555556,0.8937555555555555,0.9017555555555556,0.9155555555555556,0.8771444444444445,0.8712666666666666,0.9244777777777776,0.8645444444444444,0.8601088888888888,0.8939111111111111,0.8973055555555556,0.9127149999999998,0.9115538888888888,0.9874111111111112,0.9000166666666667,0.9163722222222224,0.9121722222222224,0.9016833333333334,0.9219583333333334,0.8372166666666666,0.8585277777777778,0.8887333333333334,0.9005333333333333,0.9031055555555556,0.8937555555555555,0.9017555555555556,,,,,,,,,,,,,,,,,,,,,,,
04-17,0.9369333333333334,,,,0.9277333333333334,0.9324666666666668,,0.8989111111111111,0.9138666666666666,,,0.8889277777777778,0.9142611111111112,0.9158416666666668,0.8963333333333333,,0.9072333333333332,0.8671666666666666,0.9191722222222224,,,0.8898388888888888,0.8879833333333333,0.9369333333333334,0.8814222222222222,0.8776833333333334,0.9154866666666668,0.9277333333333334,0.9324666666666668,0.9143925925925924,0.8989111111111111,0.9138666666666666,0.9165922222222224,0.909,0.8889277777777778,0.9142611111111112,0.9158416666666668,0.8963333333333333,0.892251851851852,0.9072333333333332,0.8671666666666666,0.9191722222222224,0.9117055555555555,0.906075,0.8898388888888888,0.8879833333333333,,,,,,,,,,,,,,,,,,,,,,,
04-18,,,,,0.9152555555555556,0.7288111111111111,,,,,,0.90425,0.9065055555555556,0.9128666666666666,,0.9054666666666666,0.9106777777777778,0.8968722222222222,,0.9228777777777778,0.9090444444444444,0.9263083333333332,0.7955222222222222,0.9098944444444446,0.8819722222222224,0.8841,0.9124333333333332,0.9152555555555556,0.7288111111111111,0.8939111111111111,0.902775,0.9091611111111112,0.9192333333333332,0.9420074074074072,0.90425,0.9065055555555556,0.9128666666666666,0.8910138888888889,0.9054666666666666,0.9106777777777778,0.8968722222222222,0.8634361111111112,0.9228777777777778,0.9090444444444444,0.9263083333333332,0.7955222222222222,,,,,,,,,,,,,,,,,,,,,,,
04-19,0.8828555555555556,,0.8841,0.9003888888888889,0.9205666666666666,0.8950833333333333,0.8638666666666667,0.9066388888888888,0.9044555555555556,,0.9055388888888888,0.9105277777777778,0.9191944444444444,0.9167,0.8856944444444445,0.8476333333333333,,,0.8077,0.9279,0.9038666666666668,0.9459444444444444,0.8819111111111111,0.8828555555555556,0.8739944444444445,0.8841,0.9003888888888889,0.9205666666666666,0.8950833333333333,0.8638666666666667,0.9066388888888888,0.9044555555555556,0.9115538888888888,0.9055388888888888,0.9105277777777778,0.9191944444444444,0.9167,0.8856944444444445,0.8476333333333333,0.9197805555555556,0.9030364197530864,0.8077,0.9279,0.9038666666666668,0.9459444444444444,0.8819111111111111,,,,,,,,,,,,,,,,,,,,,,,
04-20,0.9094777777777776,,0.9054666666666666,,0.9142944444444444,0.9144,0.9854,0.8570666666666666,0.9156611111111111,,0.9330722222222222,0.8658,0.8796055555555555,,0.8844,0.8766111111111111,0.9288833333333332,,,0.9230944444444444,0.8961722222222223,,,0.9094777777777776,0.8798366666666666,0.9054666666666666,0.9155056666666668,0.9142944444444444,0.9144,0.9854,0.8570666666666666,0.9156611111111111,0.9016222222222222,0.9330722222222222,0.8658,0.8796055555555555,0.9142861111111112,0.8844,0.8766111111111111,0.9288833333333332,0.8968722222222222,0.8410866666666666,0.9230944444444444,0.8961722222222223,0.9261342592592592,0.8613407407407406,,,,,,,,,,,,,,,,,,,,,,,
04-21,0.9320444444444445,,0.7851,,0.931725,0.9209444444444445,0.8850666666666667,,0.8195,0.8957055555555555,,0.9064733333333334,0.9100333333333334,0.9118722222222222,,0.8793555555555556,0.92485,,0.8744733333333333,0.9256666666666666,,,,0.9320444444444445,0.8771444444444445,0.7851,0.916536111111111,0.931725,0.9209444444444445,0.8850666666666667,0.9066388888888888,0.8195,0.8957055555555555,0.9295055555555556,0.9064733333333334,0.9100333333333334,0.9118722222222222,0.8844,0.8793555555555556,0.92485,0.9156638888888888,0.8744733333333333,0.9256666666666666,0.8836757936507936,0.9160444444444444,0.8931583333333334,,,,,,,,,,,,,,,,,,,,,,,
