system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate,2000_phenology,2001_phenology,2002_phenology,2003_phenology,2004_phenology,2005_phenology,2006_phenology,2007_phenology,2008_phenology,2009_phenology,2010_phenology,2011_phenology,2012_phenology,2013_phenology,2014_phenology,2015_phenology,2016_phenology,2017_phenology,2018_phenology,2019_phenology,2020_phenology,2021_phenology,2022_phenology
06-22,0.4095888888888889,,0.4397999999999999,0.4083166666666666,0.4549777777777777,0.38737,0.3528555555555555,0.4028333333333333,,,0.4136166666666666,,0.31505,,0.3337166666666666,0.4330235294117647,0.39141,0.5168722222222222,0.5031444444444444,,,,0.2764166666666666,0.4095888888888889,,0.4397999999999999,0.4083166666666666,0.4549777777777777,0.38737,0.3528555555555555,0.4028333333333333,0.2308448529411764,0.3562777777777777,0.4136166666666666,0.3827195555555555,0.31505,0.4105555555555555,0.3337166666666666,0.4330235294117647,0.39141,0.5168722222222222,0.5031444444444444,0.4657083333333333,0.4871444444444444,0.4229999999999999,0.2764166666666666,,,,,,PO,,,,,,,PO,,,,,,,,,,
06-23,0.3984222222222222,,0.4267666666666667,,0.3891111111111111,0.3170555555555555,0.3786058823529412,,,0.3359111111111111,0.2458611111111111,,0.3428111111111111,0.3554,0.29025,0.475525,0.36665,0.4428388888888889,0.4607333333333333,0.4805611111111111,0.3562,0.4141444444444444,0.2587,0.3984222222222222,0.6351444444444444,0.4267666666666667,0.3145527777777777,0.3891111111111111,0.3170555555555555,0.3786058823529412,0.4028333333333333,0.1995999999999999,0.3359111111111111,0.2458611111111111,0.4096955555555555,0.3428111111111111,0.3554,0.29025,0.475525,0.36665,0.4428388888888889,0.4607333333333333,0.4805611111111111,0.3562,0.4141444444444444,0.2587,,,,,,,,,,,,,,,,,,,,,,,
06-24,0.3757222222222222,,0.4580888888888889,0.2207888888888889,0.3397,,0.3687444444444444,,,0.3562777777777777,0.24,,0.2245666666666666,0.3649333333333333,0.2909,0.2325666666666666,0.3036777777777777,0.5532900000000001,,,0.4871444444444444,0.3517111111111111,0.3059,0.3757222222222222,0.6033055555555555,0.4580888888888889,0.2207888888888889,0.3397,0.3580222222222222,0.3687444444444444,0.25341,0.1995999999999999,0.3562777777777777,0.24,0.4215684444444443,0.2245666666666666,0.3649333333333333,0.2909,0.2325666666666666,0.3036777777777777,0.5532900000000001,0.5031444444444444,0.5131746732026143,0.4871444444444444,0.3517111111111111,0.3059,,,,PO,,,,,,,,,,,,,,,,,,,
06-25,0.3724222222222222,,0.4855888888888889,,0.2778636363636363,0.3989888888888889,0.3608666666666666,0.25341,,0.1623625,0.3218875,0.4469466666666666,0.1928666666666666,0.4334888888888888,0.3178249999999999,0.4000529411764706,0.3388222222222222,0.5478722222222222,,0.5457882352941177,0.5675444444444445,0.3456222222222222,0.31512,0.3724222222222222,0.5714666666666667,0.4855888888888889,0.3441555555555555,0.2778636363636363,0.3989888888888889,0.3608666666666666,0.25341,0.1926411764705882,0.1623625,0.3218875,0.4469466666666666,0.1928666666666666,0.4334888888888888,0.3178249999999999,0.4000529411764706,0.3388222222222222,0.5478722222222222,0.4717111111111111,0.5457882352941177,0.5675444444444445,0.3456222222222222,0.31512,,PD,,,,,,,,,,,,,,,,,,,,,
06-26,0.4041333333333333,,0.4741777777777778,0.4675222222222222,0.2809875,,0.3337222222222222,0.2294777777777777,,0.3842333333333333,0.2942333333333333,0.4269111111111111,0.3432,,0.2950444444444444,,0.35355625,0.65602,0.5160666666666667,0.5085333333333333,0.3232875,0.44000625,,0.4041333333333333,,0.4741777777777778,0.4675222222222222,0.2809875,0.4540444444444445,0.3337222222222222,0.2294777777777777,0.2246301379811183,0.3842333333333333,0.2942333333333333,0.4269111111111111,0.3432,0.4558222222222221,0.2950444444444444,0.3493514705882352,0.35355625,0.65602,0.5160666666666667,0.5085333333333333,0.3232875,0.44000625,0.29166,,,,,,,,,PO,,,,,,,,,,,,,,
06-27,0.3863777777777777,,0.4672222222222222,0.3965777777777778,0.2809222222222222,0.5091,0.4311555555555555,0.2282166666666666,0.1815333333333333,0.4229888888888889,0.3560333333333333,0.4518444444444444,0.27275,0.4781555555555555,0.4844764705882353,0.2986499999999999,0.3773117647058823,0.5998611111111112,,0.4452722222222222,0.5192666666666667,0.5202666666666667,0.2682,0.3863777777777777,,0.4672222222222222,0.3965777777777778,0.2809222222222222,0.5091,0.4311555555555555,0.2282166666666666,0.1815333333333333,0.4229888888888889,0.3560333333333333,0.4518444444444444,0.27275,0.4781555555555555,0.4844764705882353,0.2986499999999999,0.3773117647058823,0.5998611111111112,0.4717111111111111,0.4452722222222222,0.5192666666666667,0.5202666666666667,0.2682,,,,,,,,,,,,,,,,,,,,,,,
06-28,0.395,,0.4475777777777778,0.3850733333333333,0.273075,0.3160555555555556,,0.2592444444444444,0.1925888888888889,0.2865,0.3906666666666666,,,0.4766111111111111,0.3806555555555555,0.2914277777777778,0.4010444444444444,0.5214222222222222,0.4273555555555555,0.4310277777777778,,0.4922888888888889,0.2148277777777777,0.395,,0.4475777777777778,0.3850733333333333,0.273075,0.3160555555555556,0.4289499999999999,0.2592444444444444,0.1925888888888889,0.2865,0.3906666666666666,0.4824222222222222,0.2699749999999999,0.4766111111111111,0.3806555555555555,0.2914277777777778,0.4010444444444444,0.5214222222222222,0.4273555555555555,0.4310277777777778,0.4871444444444444,0.4922888888888889,0.2148277777777777,,,,,,,,,,,,,,,,,,,,,,,
06-29,0.3739888888888888,,0.4518333333333333,0.43155,0.2867222222222222,0.1872111111111111,0.4267444444444444,0.3044777777777778,0.1926411764705882,0.4327777777777777,0.4089722222222222,0.513,0.2672,0.4669277777777778,0.3443666666666666,0.3523222222222222,0.4399777777777778,0.5598555555555556,0.5466222222222222,0.4541611111111111,,0.48164,0.2597777777777778,0.3739888888888888,,0.4518333333333333,0.43155,0.2867222222222222,0.1872111111111111,0.4267444444444444,0.3044777777777778,0.1926411764705882,0.4327777777777777,0.4089722222222222,0.513,0.2672,0.4669277777777778,0.3443666666666666,0.3523222222222222,0.4399777777777778,0.5598555555555556,0.5466222222222222,0.4541611111111111,0.4301430555555556,0.48164,0.2597777777777778,,,,,,,,,,,,,,,,,,,,,PD,,
06-30,0.3906444444444444,,0.5218555555555555,0.4311222222222222,0.31239,0.5357444444444445,0.4924277777777778,0.3010166666666666,0.3163166666666667,0.3780166666666666,0.40345,0.4061277777777777,,0.3870111111111111,0.3423333333333333,0.375375,0.43495,0.5401888888888889,0.5559000000000001,0.4427833333333333,,,0.3219944444444444,0.3906444444444444,,0.5218555555555555,0.4311222222222222,0.31239,0.5357444444444445,0.4924277777777778,0.3010166666666666,0.3163166666666667,0.3780166666666666,0.40345,0.4061277777777777,0.352225,0.3870111111111111,0.3423333333333333,0.375375,0.43495,0.5401888888888889,0.5559000000000001,0.4427833333333333,0.5079490740740741,0.4237557142857142,0.3219944444444444,,,,,,,,,,,,,,,,,,,,,,,
07-01,0.4244222222222222,,0.5200111111111111,0.3952090909090909,0.2867333333333333,0.3965777777777778,0.4124222222222222,0.3378333333333333,0.3290833333333333,0.3771555555555556,0.3737444444444444,0.4312555555555555,0.43725,,0.3762066666666667,0.4441222222222222,0.4124444444444444,0.5559222222222222,0.6060388888888889,0.4808277777777777,,0.3658714285714285,0.3728277777777777,0.4244222222222222,,0.5200111111111111,0.3952090909090909,0.2867333333333333,0.3965777777777778,0.4124222222222222,0.3378333333333333,0.3290833333333333,0.3771555555555556,0.3737444444444444,0.4312555555555555,0.43725,0.4669277777777778,0.3762066666666667,0.4441222222222222,0.4124444444444444,0.5559222222222222,0.6060388888888889,0.4808277777777777,0.5192666666666667,0.3658714285714285,0.3728277777777777,,,,,,,,,,,,PD,,,,,,,,,,,
07-02,0.4394111111111111,,0.4698555555555555,0.4593222222222222,0.38065,,,0.2754944444444444,,0.33118125,0.4269944444444444,0.4155722222222222,0.44165,,0.3573833333333333,0.2297388888888888,0.4453666666666667,0.5135666666666666,0.5551777777777778,0.4055,0.447875,,0.3247722222222222,0.4394111111111111,,0.4698555555555555,0.4593222222222222,0.38065,0.4722472222222222,0.4167527777777777,0.2754944444444444,0.2773151960784313,0.33118125,0.4269944444444444,0.4155722222222222,0.44165,0.5223888888888889,0.3573833333333333,0.2297388888888888,0.4453666666666667,0.5135666666666666,0.5551777777777778,0.4055,0.447875,0.3951357142857142,0.3247722222222222,,,,,,,,,,,,,,,,,,,,,,,
07-03,0.4010777777777777,0.5714666666666667,0.5013111111111112,0.46915,0.4029444444444444,0.5479166666666666,0.4210833333333333,0.3568444444444444,0.2255470588235294,0.5418352941176471,0.4438277777777777,0.3897277777777778,0.3516388888888889,0.5440222222222222,0.3968777777777778,0.4463833333333333,0.4017833333333333,0.5442875,0.3535444444444444,0.4211222222222222,0.5567055555555556,0.4244,0.4495166666666667,0.4010777777777777,0.5714666666666667,0.5013111111111112,0.46915,0.4029444444444444,0.5479166666666666,0.4210833333333333,0.3568444444444444,0.2255470588235294,0.5418352941176471,0.4438277777777777,0.3897277777777778,0.3516388888888889,0.5440222222222222,0.3968777777777778,0.4463833333333333,0.4017833333333333,0.5442875,0.3535444444444444,0.4211222222222222,0.5567055555555556,0.4244,0.4495166666666667,,,,,,,,,,,,,,,,,,PD,,,,,
07-04,0.4359555555555556,,0.4235333333333333,0.5180277777777778,0.3776666666666666,0.5942055555555555,,0.3759611111111111,0.3458611111111111,0.3116555555555556,0.4503611111111111,0.409,0.3827866666666666,0.5223888888888889,0.3379722222222222,0.4194277777777778,0.4283111111111111,0.5316166666666666,,0.4404388888888889,0.5612666666666667,0.4914222222222222,0.4690222222222222,0.4359555555555556,0.4502833333333333,0.4235333333333333,0.5180277777777778,0.3776666666666666,0.5942055555555555,0.3017854166666666,0.3759611111111111,0.3458611111111111,0.3116555555555556,0.4503611111111111,0.409,0.3827866666666666,0.5223888888888889,0.3379722222222222,0.4194277777777778,0.4283111111111111,0.5316166666666666,0.3683722222222222,0.4404388888888889,0.5612666666666667,0.4914222222222222,0.4690222222222222,,,,,,,,,,,,,,,,,,,,,,,
